"Title","Authors","Journal","Year"
"Mlp-mixer: An all-mlp architecture for vision","IO Tolstikhin, N Houlsby, A Kolesnikov - Advances in neural , 2021 - proceedings.neurips.cc","Advances in neural ¡¦","2021"
"Vision transformer with deformable attention","Z Xia, X Pan, S Song, LE Li - Proceedings of the IEEE , 2022 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2022"
"Emerging properties in self-supervised vision transformers","M Caron, H Touvron, I Misra, H Jégou - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Regionclip: Region-based language-image pretraining","Y Zhong, J Yang, P Zhang, C Li - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Intriguing properties of vision transformers","MM Naseer, K Ranasinghe, SH Khan - Advances in , 2021 - proceedings.neurips.cc","Advances in ¡¦","2021"
"Simvlm: Simple visual language model pretraining with weak supervision","Z Wang, J Yu, AW Yu, Z Dai, Y Tsvetkov - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Vicreg: Variance-invariance-covariance regularization for self-supervised learning","A Bardes, J Ponce, Y LeCun - arXiv preprint arXiv:2105.04906, 2021 - arxiv.org","arXiv preprint arXiv:2105.04906","2021"
"Twins: Revisiting the design of spatial attention in vision transformers","X Chu, Z Tian, Y Wang, B Zhang - Advances in , 2021 - proceedings.neurips.cc","Advances in ¡¦","2021"
"Oriented R-CNN for object detection","X Xie, G Cheng, J Wang, X Yao - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Diffusiondet: Diffusion model for object detection","S Chen, P Sun, Y Song, P Luo - Proceedings of the IEEE , 2023 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2023"
"Transformers in medical imaging: A survey","F Shamshad, S Khan, SW Zamir, MH Khan - Medical Image , 2023 - Elsevier","Medical Image ¡¦","2023"
"Pay attention to mlps","H Liu, Z Dai, D So, QV Le - Advances in Neural Information , 2021 - proceedings.neurips.cc","Advances in Neural Information ¡¦","2021"
"Winoground: Probing vision and language models for visio-linguistic compositionality","T Thrush, R Jiang, M Bartolo, A Singh - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
