"Title","Authors","Journal","Year"
" Artificial intelligence: A powerful paradigm for scientific research","Y Xu, X Liu, X Cao, C Huang, E Liu, S Qian, X Liu - The Innovation, 2021 - cell.com","The Innovation","2021"
"How to train your robot with deep reinforcement learning: lessons we have learned","J Ibarz, J Tan, C Finn, M Kalakrishnan -  Journal of Robotics , 2021 - journals.sagepub.com","¡¦ Journal of Robotics ¡¦","2021"
"Score-based generative modeling through stochastic differential equations","Y Song, J Sohl-Dickstein, DP Kingma, A Kumar - arXiv preprint arXiv , 2020 - arxiv.org","arXiv preprint arXiv ¡¦","2020"
"Denoising diffusion implicit models","J Song, C Meng, S Ermon - arXiv preprint arXiv:2010.02502, 2020 - arxiv.org","arXiv preprint arXiv:2010.02502","2020"
"Mat: Mask-aware transformer for large hole image inpainting","W Li, Z Lin, K Zhou, L Qi, Y Wang - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Prototypical pseudo label denoising and target structure learning for domain adaptive semantic segmentation","P Zhang, B Zhang, T Zhang, D Chen - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"A systematic review on affective computing: Emotion models, databases, and recent advances","Y Wang, W Song, W Tao, A Liotta, D Yang, X Li, S Gao - Information , 2022 - Elsevier","Information ¡¦","2022"
"Energy-based out-of-distribution detection","W Liu, X Wang, J Owens, Y Li - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
"Generative adversarial networks in medical image augmentation: A review","Y Chen, XH Yang, Z Wei, AA Heidari, N Zheng - Computers in Biology , 2022 - Elsevier","Computers in Biology ¡¦","2022"
"U-net and its variants for medical image segmentation: A review of theory and applications","N Siddique, S Paheding, CP Elkin - Ieee , 2021 - ieeexplore.ieee.org","Ieee ¡¦","2021"
"Draem-a discriminatively trained reconstruction embedding for surface anomaly detection","V Zavrtanik, M Kristan, D Skočaj - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Restyle: A residual-based stylegan encoder via iterative refinement","Y Alaluf, O Patashnik - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Gan inversion: A survey","W Xia, Y Zhang, Y Yang, JH Xue - IEEE Transactions on , 2022 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2022"
"A unifying review of deep and shallow anomaly detection","L Ruff, JR Kauffmann, RA Vandermeulen - Proceedings of the , 2021 - ieeexplore.ieee.org","Proceedings of the ¡¦","2021"
"Blended latent diffusion","O Avrahami, O Fried, D Lischinski - ACM Transactions on Graphics , 2023 - dl.acm.org","ACM Transactions on Graphics ¡¦","2023"
"Learning continuous image representation with local implicit image function","Y Chen, S Liu, X Wang -  of the IEEE/CVF conference on , 2021 - openaccess.thecvf.com","¡¦ of the IEEE/CVF conference on ¡¦","2021"
"Diffusion probabilistic models for 3d point cloud generation","S Luo, W Hu - Proceedings of the IEEE/CVF Conference on , 2021 - openaccess.thecvf.com","Proceedings of the IEEE/CVF Conference on ¡¦","2021"
"Transgan: Two pure transformers can make one strong gan, and that can scale up","Y Jiang, S Chang, Z Wang - Advances in Neural , 2021 - proceedings.neurips.cc","Advances in Neural ¡¦","2021"
"Agentformer: Agent-aware transformers for socio-temporal multi-agent forecasting","Y Yuan, X Weng, Y Ou - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"A survey on neural network interpretability","Y Zhang, P Tiňo, A Leonardis - IEEE Transactions on , 2021 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2021"
" Common pitfalls and recommendations for using machine learning to detect and prognosticate for COVID-19 using chest radiographs and CT scans","M Roberts, D Driggs, M Thorpe, J Gilbey - Nature Machine , 2021 - nature.com","Nature Machine ¡¦","2021"
"Advances in neural rendering","A Tewari, J Thies, B Mildenhall - Computer Graphics , 2022 - Wiley Online Library","Computer Graphics ¡¦","2022"
"Physdiff: Physics-guided human motion diffusion model","Y Yuan, J Song, U Iqbal, A Vahdat - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"A review of deep-learning-based medical image segmentation methods","X Liu, L Song, S Liu, Y Zhang - Sustainability, 2021 - mdpi.com","Sustainability","2021"
"A survey of deep active learning","P Ren, Y Xiao, X Chang, PY Huang, Z Li - ACM computing , 2021 - dl.acm.org","ACM computing ¡¦","2021"
" Text data augmentation for deep learning","C Shorten, TM Khoshgoftaar, B Furht - Journal of big Data, 2021 - Springer","Journal of big Data","2021"
